gbif_id,scientific_name,decimal_latitude,decimal_longitude,year,basis_of_record,country_code,coordinate_uncertainty_m
6195773140,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.950096,35.057543,2026,HUMAN_OBSERVATION,TZ,31431.0
6195786460,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-13.112924,31.782215,2026,HUMAN_OBSERVATION,ZM,31045.0
6195791196,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-0.49474,36.185191,2026,HUMAN_OBSERVATION,KE,31451.0
6195828052,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.037901,31.741742,2026,HUMAN_OBSERVATION,ZA,30112.0
6195837705,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-0.522996,36.019462,2026,HUMAN_OBSERVATION,KE,31451.0
6234173168,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.40905,35.322967,2026,HUMAN_OBSERVATION,KE,31446.0
6234270090,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.402591,35.349247,2026,HUMAN_OBSERVATION,KE,31446.0
6234308599,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.801526,31.835067,2026,HUMAN_OBSERVATION,ZA,30025.0
6234313582,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.406664,35.069418,2026,HUMAN_OBSERVATION,KE,31446.0
6234567331,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.43568,35.105111,2026,HUMAN_OBSERVATION,KE,31446.0
6234669337,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.382614,31.957036,2026,HUMAN_OBSERVATION,ZA,29981.0
6234709079,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-18.593444,23.510115,2026,HUMAN_OBSERVATION,BW,30649.0
6234917731,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.081578,31.92021,2026,HUMAN_OBSERVATION,ZA,52362.0
6235020932,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-0.429141,36.087289,2026,HUMAN_OBSERVATION,KE,31451.0
6235156102,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.590536,35.388945,2026,HUMAN_OBSERVATION,KE,31446.0
6235245830,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.290313,27.063646,2026,HUMAN_OBSERVATION,ZA,29981.0
6235252830,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.546668,35.144254,2026,HUMAN_OBSERVATION,KE,31446.0
6235357751,"Panthera leo (Linnaeus, 1758)",-20.808188,34.321892,2026,HUMAN_OBSERVATION,MZ,30434.0
